unique_id,metric,SeasonalMBB,Jittering,Scaling,TimeWarping,MagnitudeWarping,TSMixup,DBA,original,qgts(25),qgtse(50),SeasonalNaive
ID303,mase,1.9512548,1.6073543,1.2795682,0.98386633,1.804164,1.5239644,2.5060813,1.0880537,1.4993421,1.6523811,0.7984488
ID304,mase,0.7460152,0.68460065,0.6932045,0.6086994,0.7136866,0.7224858,0.6056039,0.74930096,0.76334,0.8066326,1.0807784
ID305,mase,1.4023738,1.6031694,1.532891,2.1312473,1.7869166,1.5443751,2.715946,1.3606724,1.2326273,1.5057323,0.98071605
ID306,mase,1.379126,1.4202012,1.3234117,1.2479054,1.3521681,1.4030555,1.2466779,1.4517035,1.4211775,1.3902807,1.8654578
ID307,mase,2.4078395,2.2408612,1.9159291,2.3303506,2.0690455,2.105778,2.1957443,2.022438,2.257911,2.2211432,1.532445
ID308,mase,2.0439756,2.1191156,1.8985765,2.3650613,2.4076836,2.1807687,1.9979193,2.2794695,2.17826,2.206765,1.947861
ID309,mase,1.2158487,1.0937867,0.76504135,1.1030155,0.9063643,1.088325,0.93365026,0.94722134,0.9785371,1.0975683,1.0892391
ID31,mase,1.0922788,1.0263554,1.0332279,1.1290092,0.99026394,1.0052288,1.2226866,1.1588461,1.0698014,0.9643288,1.2349371
ID310,mase,0.37689817,0.39687833,0.31511277,0.41572893,0.45062205,0.39337984,0.39402047,0.4213279,0.38817424,0.3616792,1.0092764
ID311,mase,0.69509584,0.75468725,0.68222624,0.5765053,0.84887844,0.81037325,0.6639841,0.7885718,0.74823886,0.7745574,0.84535724
ID312,mase,0.30654255,0.31779042,0.41593227,0.33695593,0.32088646,0.32865694,0.4134054,0.30303597,0.3047164,0.36324018,0.73686975
ID313,mase,1.2416323,1.195034,1.2847021,1.8185953,1.2743248,1.2273002,1.5614858,1.1693013,1.2090712,1.2583823,1.5523163
ID314,mase,0.35241473,0.50554466,0.5160371,0.59685314,0.6809429,0.44801295,0.5915999,0.49279273,0.41519716,0.4379641,1.1831284
ID315,mase,0.7951051,0.85105544,0.83764875,0.6158522,0.6395966,0.7872136,0.5049584,0.8190548,0.662903,0.65588343,1.4123303
ID316,mase,0.7041684,0.7473431,0.75302553,0.77866375,0.8115755,0.79369235,0.6018694,0.76588756,0.7461217,0.79988253,0.53884405
ID317,mase,0.62054294,0.650587,0.67506045,0.59389466,0.6389268,0.635116,0.6328683,0.6190558,0.66325045,0.62622726,0.6101888
ID318,mase,1.2886001,1.2952404,1.3451731,1.3215978,1.3549376,1.3646492,1.2678843,1.3840492,1.3966851,1.3067678,1.5786444
ID319,mase,0.7383133,0.74534446,0.86248857,1.007091,0.7253192,0.7639982,0.9583277,0.66107637,0.8365654,1.1018447,0.7206659
ID32,mase,0.9255169,0.9649617,0.83573496,0.78318787,0.9547478,0.91201025,0.82451165,0.82655543,0.8321692,0.91850805,1.0715846
ID320,mase,0.6587581,0.61542743,0.6228834,0.587136,0.65349585,0.6110709,0.6601024,0.6452852,0.65129274,0.64571315,0.80440205
