unique_id,metric,SeasonalMBB,Jittering,Scaling,TimeWarping,MagnitudeWarping,TSMixup,DBA,original,derived,derived_ensemble,QGTS,QGTSE,SeasonalNaive
ID24,mase,1.4297751,2.021299,1.771873,3.217208,4.0019226,1.4328603,1.4454162,1.2855806,2.9567497,2.119216,1.2163591,1.7374256,0.93655455
ID242,mase,0.38055414,0.365189,0.5499272,0.39915964,0.3998432,0.3645388,0.35466576,0.4103467,0.47667763,0.3149605,0.29838943,0.3456511,0.47581142
ID247,mase,1.4315207,1.6558602,1.3788992,1.3143313,1.010377,1.500773,1.3266788,1.1071116,0.8286743,0.35506058,0.97457975,0.86104107,2.781778
ID248,mase,1.6494089,1.8016527,1.4812055,1.5688246,1.1325816,1.9528174,1.8036708,1.7912213,1.6452886,1.0885551,1.3290725,1.6244814,2.014258
ID249,mase,0.8761179,0.8767515,0.9468173,0.95846325,0.7866892,0.82654196,0.8305508,0.7891562,0.89685225,0.8353912,0.7912115,0.8262867,0.75460535
ID25,mase,3.0796719,3.5249135,2.6659725,2.7356975,3.4991417,3.4140813,2.7783368,3.1147406,2.816337,2.5093222,2.9451566,3.4072306,2.0790772
ID250,mase,0.42826176,0.56846297,0.42686996,0.49215603,0.68976367,0.43766525,0.61925566,0.7287917,0.5185235,0.69308984,0.40857336,0.61497223,1.1462935
ID251,mase,1.1947473,1.0807552,1.0978545,1.1389639,1.1203563,1.11359,1.2025791,1.146735,1.2390735,1.1798002,1.138541,1.2169609,1.3287966
ID252,mase,0.5893631,0.6305154,0.53537655,0.51296806,0.68220735,0.7239139,0.6201552,0.73801905,0.6597693,0.9653365,0.61361223,0.63935333,0.7825169
ID254,mase,1.0832001,1.2604853,1.1133641,1.2406338,1.2903402,1.2101301,1.3372622,1.0296954,1.2128443,0.9497082,0.98950815,1.1085314,0.93875074
ID255,mase,0.98218,0.8906208,0.8225631,0.611679,0.5923847,1.0054884,0.9102744,0.9108285,0.80045164,0.4431714,0.816472,0.84836876,1.0242623
ID256,mase,0.6730578,0.62282133,0.6614515,0.7062519,0.80752265,0.694856,0.6977127,0.6132067,0.6702385,1.0305247,0.80187744,0.76315284,0.7755927
ID257,mase,0.9055741,0.88335234,0.8149634,1.1675636,1.3016249,0.91035646,0.97061574,1.2216891,1.0386491,0.94631773,1.0006449,1.172902,1.0513228
ID258,mase,0.9576323,0.8915893,0.7005778,0.6998597,1.0679107,0.87285393,0.9447821,0.83273464,0.6589767,0.76905864,0.89336604,0.9207414,1.604323
ID259,mase,1.5227447,1.4644694,1.4223489,1.5345801,1.5450739,1.4839296,1.4991193,1.470917,1.5057703,1.5879693,1.4809254,1.4089227,1.1743547
ID26,mase,0.51286966,0.5249723,0.55467916,0.74858165,0.4833562,0.44897568,0.5684828,0.5812812,0.4584968,0.56783915,0.61522764,0.6116367,1.2990628
ID260,mase,1.4720503,1.449656,1.3130864,1.3849393,1.3996481,1.4584484,1.5362935,1.421915,1.4289937,1.3496318,1.4083147,1.3324854,1.3106998
ID261,mase,0.6109788,0.6283296,0.58298075,0.639799,0.61974525,0.5624038,0.66037285,0.58718264,0.60032386,0.6363429,0.5947406,0.6626784,0.7265092
ID262,mase,0.2810517,0.23059608,0.2584679,0.20922883,0.2686435,0.20742929,0.2249971,0.23385537,0.25092947,0.26744148,0.26517317,0.2640666,0.2109925
ID263,mase,0.83053195,0.96522975,0.819493,0.9238681,0.8447724,0.90079314,0.90590054,0.8475292,0.81238943,1.0137106,0.8063392,0.9310683,0.6997563
ID264,mase,0.7128851,0.70150244,0.63891315,0.7139804,0.7899769,0.62926793,0.5855745,0.63876134,0.71767443,0.71465,0.5686943,0.62921286,0.43362597
ID265,mase,0.80976033,0.83895236,0.7739157,0.8045449,0.77070343,0.81194913,0.82230145,0.79282314,0.72052175,0.8737196,0.8222284,0.81235313,0.89198726
ID266,mase,0.2732975,0.24207743,0.22966003,0.18344244,0.20324828,0.2195493,0.15774824,0.24102701,0.17936963,0.2813875,0.24364601,0.23677039,0.3159341
ID267,mase,0.9996591,1.0885283,0.71880543,0.77940196,0.81227493,0.9889693,1.1998956,1.0225545,1.1907963,1.0691198,0.91043186,1.1316655,0.40861303
ID268,mase,0.74372405,0.67872643,0.6912529,0.69778204,0.80506164,0.76147354,0.6996197,0.7384582,0.66472405,0.7875641,0.7412232,0.6689049,0.61947227
ID269,mase,1.021332,0.9742897,0.93828183,0.97527134,1.0383531,0.94531465,1.022116,1.0301036,1.0347942,1.0383953,0.99932504,0.9946621,1.0137676
ID27,mase,1.6859714,1.7363622,1.6544348,1.6172757,1.8072912,1.7192582,1.6788298,1.7623892,1.6594833,1.691403,1.6698682,1.7286779,1.8932879
ID270,mase,0.47033256,0.53334284,0.54444575,0.5432742,0.5740481,0.49840918,0.5280891,0.5025002,0.5170881,0.5122913,0.49775046,0.486233,0.5236716
ID271,mase,0.43619478,0.48289448,0.3963753,0.3283923,0.42113554,0.41385633,0.28388044,0.48720217,0.3416082,0.38825607,0.41352057,0.46915662,1.0259479
ID272,mase,0.28474882,0.3225756,0.24134403,0.2879524,0.24058342,0.2595535,0.51379424,0.27952754,0.39189178,0.61104345,0.29761818,0.29048306,0.40099624
ID273,mase,0.78253007,0.7722114,1.0344357,0.5194596,0.4741688,0.9579799,0.7239552,0.70587915,0.36933407,0.7464767,0.83863664,0.9159169,1.767175
ID274,mase,0.67247546,0.73680264,0.9078932,1.0858061,0.93511176,0.66248775,0.6726114,0.6111317,0.63492584,0.51530164,0.69232637,0.59297657,1.3520948
ID275,mase,0.9161297,0.93042004,0.99279237,0.9025473,0.9493897,0.86593455,0.7973764,0.9183141,0.9463814,0.84635705,0.8821655,0.85837233,1.1141813
ID276,mase,0.7546323,0.8462165,0.7012793,0.79075164,0.59027046,0.8415168,0.75500757,0.74875915,0.65752614,0.5935577,0.7720583,0.6493127,0.94824564
ID277,mase,1.4139905,1.2833743,1.2926776,1.4279699,1.2637087,1.1528606,1.114869,1.1739035,1.2982032,1.0702367,1.3804624,1.407357,2.5481346
ID278,mase,1.5921987,1.4830296,1.3835957,1.1421251,1.0242214,2.0503047,1.3999764,1.2302256,1.7725255,1.3151261,1.6214163,1.1452278,1.4252601
ID279,mase,0.7674407,0.6912789,0.71339357,0.78478414,1.0113963,0.5273976,0.6487146,0.87306815,0.7965856,0.9317076,0.7381755,0.8005671,1.1252685
ID28,mase,2.3117106,2.3636649,2.2889388,2.269569,2.773857,2.4466555,2.8340175,2.3478792,2.478825,2.7106483,2.2537057,2.2793195,1.537677
ID280,mase,1.5840094,1.4798907,1.3750991,1.0824801,1.3958004,1.4398185,1.3192322,1.479465,1.2981219,1.2437193,1.554346,1.3488104,1.286995
ID281,mase,0.5461305,0.45522007,0.49372795,0.46431646,0.47418845,0.50784063,0.48422733,0.4334278,0.53519535,0.6288286,0.5706539,0.6343734,0.6745085
ID282,mase,0.6017142,0.65094936,0.6142937,0.5154327,0.7027736,0.6631153,0.56336385,0.63518137,0.5860331,0.5446307,0.65831566,0.51558787,0.5711921
ID283,mase,0.5764806,0.6669928,0.51407826,0.48900175,0.57923377,0.79375255,0.7689792,0.53725284,0.5278426,0.6608921,0.5409866,0.5352513,0.65329045
ID284,mase,0.32446587,0.26514706,0.20724332,0.34396386,0.38160113,0.3407397,0.45491454,0.32549012,0.18601003,0.2762422,0.28007624,0.20241788,0.40590903
ID285,mase,0.45264784,0.3945411,0.4455633,0.41727066,0.37754565,0.438091,0.48524565,0.43382797,0.4338898,0.40420845,0.4811998,0.433112,0.8170391
ID286,mase,0.49773404,0.50724596,0.53529036,0.4918299,0.6368096,0.536997,0.60655737,0.47983313,0.5273524,0.4760588,0.44747505,0.5175397,0.7472353
ID287,mase,1.7732294,2.0915902,1.7151334,1.8370486,1.7777889,2.1293771,2.386198,2.1094744,2.4500225,2.1874447,2.056136,1.8969991,1.0435442
ID288,mase,0.4424208,0.41825897,0.42818964,0.40761364,0.37357226,0.39313912,0.56973714,0.3896917,0.38817677,0.38160574,0.4120705,0.40606755,0.62411517
ID289,mase,1.1756926,0.88486695,0.9593966,0.4615331,0.6646486,1.0048888,1.0251555,1.0502443,0.54718107,0.9257626,1.0775039,1.3173279,1.9252143
ID29,mase,0.66668266,0.692786,0.68918717,0.762592,0.72606546,0.6629775,0.740025,0.67036843,0.76169926,0.6897474,0.68999916,0.6467562,0.82894737
ID290,mase,0.7635124,0.6830555,0.691671,0.7442679,0.84721816,0.67564684,0.700881,0.6949584,0.6997307,0.6861325,0.8811519,0.64572376,1.1855603
ID291,mase,1.3739216,1.3042023,1.2070358,1.234021,1.1920217,2.11934,1.7026296,1.2590842,1.3914477,1.305614,1.277292,1.4378146,1.2319365
ID292,mase,1.5418701,1.5210711,1.5202808,1.4643123,1.4955686,1.6844231,1.4483993,1.6280223,1.3673841,1.3868325,1.6296121,1.6409391,2.2720368
ID293,mase,0.5864283,0.8041442,0.6223105,0.4598308,0.66768265,0.7332662,0.7285686,0.6288941,0.6011713,0.64010245,0.6790488,0.73963964,0.7153755
ID294,mase,1.5102198,1.3879439,1.4333895,1.1629819,1.6234537,1.4775555,1.4560592,1.4626898,1.2126691,1.2407042,1.4053925,1.3895192,0.9225275
ID295,mase,1.1818401,1.1440185,1.0390978,1.2484759,1.2425646,1.240097,1.4488833,1.3187795,1.3553506,1.2959118,1.1242754,1.0778483,0.9474581
ID296,mase,1.837256,1.8511769,1.9472537,2.130083,1.6715151,1.6156776,1.6203179,1.6192614,1.8962276,1.645643,1.7474891,1.605545,1.4860461
ID297,mase,1.2642553,1.2296983,1.1951623,1.3801441,1.3264447,1.2422801,1.1645992,1.2417476,1.2640498,1.139977,1.2782822,1.247468,1.4507946
ID298,mase,0.42632142,0.38255793,0.3860576,0.41193256,0.46947512,0.4453464,0.3937385,0.468635,0.4581903,0.42323443,0.4433949,0.43699378,0.5605773
ID299,mase,0.32407203,0.2877349,0.21930225,0.6936748,0.35242814,0.4406386,0.13599414,0.31989646,0.33236408,0.49681002,0.2403015,0.28491592,0.50797176
ID3,mase,0.45699325,0.48215112,0.6412078,0.64456403,0.47237295,0.5068236,0.48163298,0.44295093,0.62487704,0.58023304,0.5239718,0.42464823,1.2222863
ID30,mase,1.143868,1.1246706,1.2122161,1.423997,1.2616506,1.1483413,1.1998916,1.177708,1.309922,1.2380298,1.0910941,1.0425502,1.3490342
