unique_id,metric,SeasonalMBB,Jittering,Scaling,TimeWarping,MagnitudeWarping,TSMixup,DBA,original,qgts(25),qgtse(50),SeasonalNaive
ID269,smape,0.0787312,0.08004291,0.075846456,0.07476986,0.08192229,0.08248031,0.080803,0.082911335,0.0786354,0.07835132,0.07750885
ID27,smape,0.13577506,0.14233023,0.13868983,0.13562319,0.14331783,0.14463216,0.14580524,0.14460693,0.13918424,0.13936673,0.15944949
ID270,smape,0.032044873,0.03217867,0.03249315,0.033133045,0.034805007,0.031513736,0.033599075,0.0327274,0.030952876,0.030728843,0.031523693
ID271,smape,0.045426905,0.049710665,0.034300815,0.030170148,0.041546974,0.046355247,0.030813066,0.044485755,0.044429645,0.047345627,0.0882565
ID272,smape,0.010793863,0.014859941,0.013385079,0.015164574,0.012058626,0.0131859435,0.01730823,0.0135479905,0.015327431,0.014008336,0.017085424
ID273,smape,0.06412772,0.06550785,0.058190223,0.01862387,0.045274004,0.0567168,0.0701462,0.06292012,0.058075864,0.069488585,0.1225685
ID274,smape,0.06035019,0.0553816,0.08408395,0.08661916,0.043354355,0.064621314,0.07068879,0.061598632,0.07087717,0.05942068,0.10497382
ID275,smape,0.037927963,0.04115216,0.042580962,0.036899023,0.042987302,0.043610252,0.03720364,0.040290922,0.03890078,0.040037714,0.05006616
ID276,smape,0.07975364,0.081979886,0.07416944,0.06404774,0.027646309,0.07289787,0.07594608,0.06683836,0.07621728,0.067313656,0.08224373
ID277,smape,0.09183143,0.08600676,0.09083457,0.102896824,0.08872363,0.07666453,0.07975824,0.09564591,0.10439982,0.097324245,0.15860611
ID278,smape,0.035192277,0.03951762,0.045562997,0.046190847,0.03746131,0.046533514,0.0473408,0.03529877,0.037805364,0.035781734,0.032948073
ID279,smape,0.01818621,0.016732395,0.017679784,0.018176187,0.020932993,0.021228183,0.018540902,0.018544734,0.019888664,0.020826742,0.03363831
ID28,smape,0.19924527,0.20883182,0.18801387,0.19827472,0.22542989,0.20401125,0.20951562,0.2076349,0.18707725,0.19498928,0.13924693
ID280,smape,0.04713805,0.044804014,0.04260343,0.040281437,0.04581841,0.048372153,0.045939088,0.043188006,0.047382697,0.048317183,0.041258264
ID281,smape,0.035300866,0.034761157,0.031894773,0.03557597,0.031565323,0.029804824,0.035556987,0.033791315,0.03457533,0.03479795,0.040452078
ID282,smape,0.069151446,0.07328394,0.059648033,0.06472656,0.04190228,0.07832741,0.065609135,0.06746846,0.07315342,0.07415184,0.061558917
ID283,smape,0.06991225,0.064492345,0.058845516,0.059477843,0.061817396,0.060674354,0.06137743,0.06238009,0.06428554,0.0567457,0.06331984
ID284,smape,0.025972227,0.025426637,0.023367535,0.021174604,0.02479715,0.021310262,0.01720177,0.026856784,0.024935123,0.023103822,0.029725699
ID285,smape,0.08557425,0.08822837,0.094070114,0.09388273,0.08001332,0.09452045,0.090985484,0.09180713,0.093548246,0.08858218,0.101814985
ID286,smape,0.012894768,0.013092732,0.012302776,0.012314083,0.012150595,0.0139202755,0.012247203,0.012972291,0.012368522,0.011971204,0.019767173
ID287,smape,0.044935502,0.050302047,0.041769195,0.04150661,0.047093716,0.047899723,0.060175024,0.04587892,0.04859256,0.05070186,0.026523752
ID288,smape,0.01616073,0.018414784,0.018173752,0.022106567,0.020595543,0.015960934,0.021200472,0.016922284,0.016969401,0.016433837,0.017140599
ID289,smape,0.085885756,0.09924984,0.079930924,0.026293918,0.040356968,0.09103526,0.08145825,0.1164188,0.08280937,0.0922342,0.13456538
ID29,smape,0.0651599,0.065729246,0.06777535,0.075654656,0.06846969,0.07362936,0.06267968,0.07173752,0.06324339,0.060257826,0.06462205
ID290,smape,0.11431247,0.10841891,0.09332189,0.105030484,0.117256664,0.095136195,0.099584304,0.11180903,0.119942755,0.12500194,0.13510934
ID291,smape,0.10627365,0.11385736,0.09940197,0.09609451,0.11641231,0.11716815,0.112007566,0.10970501,0.1054983,0.10549887,0.10487686
ID292,smape,0.03679258,0.03119186,0.03396173,0.03394821,0.029177267,0.031355765,0.029404335,0.03377412,0.03504507,0.036095448,0.0561716
ID293,smape,0.035876147,0.03730949,0.032367032,0.026549757,0.038230106,0.038167857,0.037062377,0.034655645,0.035893418,0.03730527,0.0407218
ID294,smape,0.22352174,0.23217136,0.21357755,0.20808902,0.2382276,0.2112512,0.21282886,0.216029,0.21074842,0.21403205,0.22539754
ID295,smape,0.06432489,0.07415459,0.062469017,0.075726986,0.07611165,0.075359285,0.092260174,0.070389375,0.06927598,0.067349106,0.06567519
ID296,smape,0.03969491,0.037340786,0.039145805,0.05078395,0.04038483,0.036342286,0.040232517,0.039722387,0.03765208,0.040167153,0.03471273
ID297,smape,0.06833238,0.06204986,0.06564925,0.06323182,0.06452575,0.06285727,0.05692418,0.064582184,0.06612121,0.0679876,0.080962606
ID298,smape,0.02885178,0.02714463,0.023382612,0.02828805,0.028268244,0.031192627,0.03930127,0.025911253,0.029824536,0.032824725,0.036125533
ID299,smape,0.0061817532,0.0087424,0.007135671,0.016521871,0.009810891,0.008649423,0.012008494,0.0072230315,0.0077225724,0.008070249,0.021637067
