unique_id,metric,SeasonalMBB,Jittering,Scaling,TimeWarping,MagnitudeWarping,TSMixup,DBA,original,qgts(10),qgtse(10),qgts(5),qgtse(5),qgts(25),qgtse(25),qgts(50),qgtse(50),qgts(100),qgtse(100),qgts(200),qgtse(200),SeasonalNaive
ID155,smape,0.025258932,0.03128832,0.015899684,0.044910986,0.017628351,0.023619317,0.02339399,0.021985598,0.011192042,0.024936967,0.01760636,0.02042572,0.02061566,0.028282143,0.022985114,0.022651859,0.0193737,0.017934944,0.02152079,0.021776987,0.017585896
ID156,smape,0.030396856,0.029823309,0.03467016,0.029485766,0.027119134,0.027891148,0.030325903,0.029201986,0.030598726,0.030754987,0.030728213,0.03068267,0.029401045,0.031063586,0.029338656,0.031250548,0.02817486,0.030228268,0.029900957,0.030104246,0.04933955
ID157,smape,0.042467143,0.042451374,0.031538136,0.025702607,0.030778017,0.03744045,0.042590912,0.04735326,0.0431391,0.04872369,0.039885797,0.046975054,0.043790165,0.041541196,0.044862255,0.045228902,0.04296147,0.045634493,0.046809867,0.0419536,0.07460907
ID158,smape,0.032974117,0.033238932,0.026459321,0.023931675,0.025380652,0.030795837,0.033286415,0.0354289,0.0334421,0.035860255,0.031424798,0.036207218,0.033761203,0.032686625,0.035017766,0.03434028,0.033426072,0.034727283,0.035164535,0.03261182,0.03185969
ID159,smape,0.0014778377,0.0012098991,0.0014023173,0.0044579003,0.002495807,0.0015061421,0.0019738881,0.0030953935,0.0016029659,0.004182774,0.0018318843,0.0030079691,0.0019885674,0.0012575758,0.0022445128,0.0029158385,0.0019225016,0.0026967898,0.003354031,0.0018112989,0.05004563
ID16,smape,0.100137174,0.09386771,0.10428496,0.08680381,0.09397578,0.09047139,0.09287098,0.09290518,0.09911285,0.097019434,0.09923084,0.09831451,0.10245154,0.09916581,0.09765681,0.098383,0.09028113,0.102194,0.09528825,0.09864704,0.13466498
ID160,smape,0.026215551,0.029230721,0.020215187,0.017369132,0.02474412,0.029262584,0.033963475,0.029070001,0.03169878,0.02995393,0.030463645,0.03157396,0.03104984,0.029336225,0.029498417,0.028265562,0.027073197,0.027643412,0.02930089,0.032911047,0.021232331
ID161,smape,0.018746415,0.018341722,0.01421487,0.013066204,0.010812288,0.017229637,0.020194514,0.020642294,0.019195259,0.021174662,0.019234953,0.021176238,0.01981527,0.019031383,0.021010777,0.020357521,0.019198263,0.020129215,0.020462183,0.019248752,0.049964532
ID162,smape,0.04642093,0.053029854,0.050987925,0.06955051,0.034747526,0.03127011,0.06327622,0.036332175,0.04185972,0.054311577,0.046450723,0.052780986,0.04219295,0.033995707,0.045969505,0.044726007,0.038634185,0.0462714,0.049698688,0.04421101,0.021234803
ID163,smape,0.06457471,0.066396974,0.064879335,0.08676518,0.04431132,0.044547115,0.073432855,0.04721262,0.05933177,0.068843134,0.059326105,0.06540655,0.053376865,0.041724626,0.057839274,0.05857564,0.050797924,0.061721433,0.061824415,0.06366445,0.012472858
