unique_id,metric,SeasonalMBB,Jittering,Scaling,TimeWarping,MagnitudeWarping,TSMixup,DBA,original,qgts(10),qgtse(10),qgts(5),qgtse(5),qgts(25),qgtse(25),qgts(50),qgtse(50),qgts(100),qgtse(100),qgts(200),qgtse(200),SeasonalNaive
M1193,smape,0.027924230783670647,0.021089867282243546,0.028980324772464584,0.007786198911999558,0.022417446643701603,0.024560211096972675,0.033772833584273236,0.017727227244220052,0.02659829024859633,0.026451349878757108,0.022335665439088593,0.029002302357531404,0.028944043967348957,0.033010310961279314,0.03093757876303611,0.022012115629848224,0.029620908907802276,0.027190790606335957,0.02228782692388423,0.026651077966343095,0.06605530599078901
M1194,smape,0.013980248511390849,0.015756001358900183,0.017422566384277107,0.013847751921874036,0.0051943784911799235,0.010968585489062188,0.02031210568422311,0.011877408094379144,0.013382369514072207,0.013624011177170171,0.010225037717617612,0.013826092802644914,0.015522565217254349,0.021531715049760064,0.017778000206755937,0.012726702206243154,0.01337520336652616,0.011648348793306422,0.015968502398255553,0.010466875199784433,0.04837920503766415
M1195,smape,0.09767910048158229,0.07758963554769609,0.12350505562988816,0.09119484413556601,0.08038359316447964,0.07874592350651814,0.09329901318395724,0.10285778246198522,0.08846614376242433,0.09072466631069293,0.09047737155887632,0.08790683755392449,0.11343916821011969,0.09352957981963506,0.07880723697424684,0.08860810933289527,0.08830909551067133,0.08890199531683196,0.09323076038459989,0.10377578232885598,0.12612064256804592
M1196,smape,0.08871181928623999,0.11107240675962331,0.11651309760268709,0.10117360787146056,0.10227432072873521,0.08824862330059337,0.0998659251660005,0.0976989306072753,0.08443204937863547,0.08980428147935116,0.08495313268913196,0.09969277241474815,0.1005237330826416,0.10438807481422196,0.09689588325366161,0.09946520250916287,0.08342599325349086,0.09319447684517908,0.11136513783545147,0.09959354721949448,0.1228129321497075
M1197,smape,0.2507737394325738,0.26072170531861744,0.26429980409260373,0.23180495724411965,0.2570519120642867,0.25380219887573835,0.2539392784202422,0.22486405325058154,0.23290105403973246,0.2520925901211429,0.23590105927564572,0.24861626862566558,0.2561494415364556,0.24781120563161088,0.21921323699299114,0.24350145891186623,0.24427255372448112,0.25279708815929697,0.20266484098040027,0.2516083249297341,0.26603724352455227
M1198,smape,0.19700247173193688,0.13863502946150144,0.2853376548654411,0.18503822201343537,0.1867962016024212,0.15038715891208818,0.15752917602691902,0.27999350740468637,0.24184005393673016,0.24598658729250003,0.16816564453033436,0.21653085968846073,0.22737699612620202,0.2289440659149152,0.2850712304661112,0.187627135989803,0.23930616564609966,0.22231952748617215,0.15943005014593778,0.2846621866133546,0.39456431861236557
M1199,smape,0.09388817002267992,0.07526872184883829,0.1194554930734895,0.09185719574759603,0.07965336511536548,0.07401397652321862,0.08886969932853357,0.1047626646099002,0.08347316873205823,0.0854700071743294,0.08482590335568675,0.08210669458794181,0.10647638645461584,0.08871678189818656,0.07634222868968811,0.08481678015461537,0.08143835193131506,0.08293573358656077,0.09388247022481173,0.09665367171516437,0.12304214465507417
M1200,smape,0.20088506942971543,0.1747410687685819,0.15778765558290053,0.1621248104536267,0.3562233095489249,0.2756790255989185,0.21198891525424216,0.5178819196329357,0.1944242181174133,0.19706996285666675,0.18909217673833548,0.1801714658450867,0.18164945907140226,0.17116333288724409,0.24678514123053832,0.21426088017997502,0.1934988183912473,0.19852376561790544,0.17658382760132904,0.17050141140804045,0.255309045836636
M1201,smape,0.5075231523065001,0.4938288349229018,0.498647790547807,0.473238205017587,0.5088688471857218,0.5198251250109798,0.5017796369302832,0.49561013385863073,0.5089428714146605,0.5196722596302976,0.51388201146592,0.522199392856758,0.5181755724305139,0.5161745844613101,0.5248070202759018,0.5067773266122333,0.4994864676227542,0.5042037316413736,0.48606635603707166,0.5117513643184618,0.6262759079816984
M1202,smape,0.12321205472548773,0.16912031836529015,0.12913257495007197,0.13736901577039093,0.16093636709039105,0.12803660217934248,0.11732096660425322,0.1308608424975303,0.12660418775423435,0.11870302937844245,0.13491794136166171,0.12980300500742883,0.1384022273965799,0.13788455782802903,0.13343091163693102,0.1266832914637988,0.12482584750881916,0.1401799745426488,0.1393202693190518,0.13276059798238976,0.11639814163177818
M1203,smape,0.08729883495538732,0.09924102062414171,0.11078119200891497,0.09260865306885974,0.09766507851296874,0.09690201643959652,0.09051841937232868,0.10401157184015664,0.09689870181090825,0.10292210290303327,0.09273262878806154,0.09716504298641,0.09702255256388133,0.09976073053836178,0.10614689674001587,0.10005876757462008,0.10154546943012921,0.10227968827619828,0.1003109635989084,0.09445526006075484,0.10929378989308935
M1204,smape,0.32931936030116,0.43839252532455614,0.20720849957638496,0.3793089374673781,0.35483145950193345,0.22125254321340448,0.5023865483325488,0.33300932346545076,0.25897761834409194,0.3003412888176336,0.34943034564584624,0.2531164469004152,0.2339392048087885,0.2560033797642637,0.3942153554560697,0.27801952684984604,0.2581946071405924,0.23425230553092893,0.19714420616866354,0.29268349473462746,0.30106085568332386
M1205,smape,0.0491953085627248,0.03944237801442224,0.05460114939949864,0.041665917783479986,0.0490932610052446,0.050875357225711175,0.05381498808299754,0.04711294213778608,0.04762475674978988,0.04315683219236691,0.04120271881159546,0.04026809956132885,0.04289162909737514,0.03747246890305901,0.03819275008846632,0.038739870096083234,0.0382164065053029,0.042985868199719855,0.03854943242641863,0.03487371495621678,0.060562644513467795
M1207,smape,0.034998111069082675,0.030330913178524238,0.02878404968141619,0.02851091632987587,0.0298280676690959,0.027579041461957388,0.03034494617834947,0.026748796610871057,0.029589097864159048,0.02933620803689314,0.02934123639017129,0.02848078951406092,0.03004632280710065,0.0311261654860767,0.02688599469527522,0.029792059608782007,0.029502750383881005,0.02935870772259455,0.029277158317692314,0.031724939177306406,0.034358108287240605
M1208,smape,0.04140128198592683,0.04655479842542392,0.03747540832977305,0.037694769166913375,0.042752757566921006,0.040017102027095595,0.03298665674101397,0.029069497978928868,0.03442332302401525,0.03585990133022235,0.03654386841082866,0.039988032454126965,0.03494216354169559,0.037318112161988985,0.039601389503012195,0.036174108550387045,0.0398787919786711,0.03703641368531863,0.0342436485043698,0.03866623731097419,0.05136804745954027
