unique_id,metric,SeasonalMBB,Jittering,Scaling,TimeWarping,MagnitudeWarping,TSMixup,DBA,original,qgts(25),qgtse(50),SeasonalNaive
q62,smape,0.05030912347254616,0.04549444111259904,0.04327976518798655,0.04254629137919316,0.05946338676396263,0.050626288295385215,0.049769581329328065,0.041323351232524896,0.05209405986919283,0.04215795519646578,0.0759260278497691
q63,smape,0.035207627322235445,0.02789373796135565,0.035058929403723266,0.026769596173408912,0.03845789347270776,0.0365358709613168,0.04525073739156241,0.030197829908843586,0.03241377173458169,0.03325372435967398,0.07831510999002858
q64,smape,0.04511828172994772,0.043993749201795856,0.04381316712861247,0.04585977817645612,0.04651906925128247,0.046576023451399114,0.04564237741378172,0.043195846619920014,0.043419402565960746,0.044242635686474,0.05847160550780098
q65,smape,0.05933949106211852,0.05776356999645603,0.0560585957112857,0.06834053879469294,0.05999005887430142,0.06717614029348005,0.04603838081620395,0.06810345751784512,0.07061410515489357,0.06744500235923712,0.04336819755027449
q66,smape,0.04175092987997278,0.039703423196185805,0.035289428019205905,0.045009511924542694,0.044516186261209754,0.03986223638723836,0.03689004391205481,0.04527419336238384,0.03054497252334354,0.030814469643494494,0.015396815110458473
q67,smape,0.06106756446258013,0.06509962279343154,0.062264387967758524,0.06467998322588103,0.05920108549396518,0.05696714194818449,0.06716418663257555,0.06200641111302467,0.06133231475985369,0.06190250949305029,0.04534721612577782
q68,smape,0.03548702332473516,0.0331258197030784,0.03037122347558973,0.038462019779784404,0.0406842135261714,0.03476323407549044,0.035481030776988054,0.03284319820558904,0.0395499997269754,0.038087229670852235,0.048313675231054745
q69,smape,0.0747380346803841,0.06492914290557618,0.0639053128853038,0.07760055277233709,0.061201339076295325,0.05849748448428342,0.08506034750607809,0.06639370598250649,0.07714082942349856,0.07570452152818452,0.0458485934015144
q7,smape,0.05678122188262457,0.06070431952326325,0.06096360970511094,0.04899958117171957,0.057268194028316864,0.07235217900339733,0.0494444856272211,0.06312122392644051,0.0465167156064808,0.04198254929547402,0.10597453166596776
q70,smape,0.07687205860693741,0.0714406337984089,0.07393865899563375,0.07511195861287868,0.06543797817643247,0.061567894278804776,0.07033801020620321,0.06532569322010343,0.07304098623367938,0.071330350773069,0.04546331706058187
q71,smape,0.038189932762886826,0.039200264896136226,0.04060676324120729,0.041369869511962684,0.03719603180687697,0.03169310178389587,0.030896979193326547,0.03703197999954771,0.03299015454081344,0.03584418397686163,0.039562266042437226
q72,smape,0.10241208575538556,0.10677219041406391,0.10249783058083714,0.10478412761531838,0.10639168249552558,0.1127575646699406,0.09588957388675863,0.11490216315068713,0.10892935478193161,0.10611227431195193,0.08011280550857522
q73,smape,0.037888429873410887,0.038043780517399386,0.037479714324824456,0.03580437606321429,0.034004588551783954,0.031462959239440896,0.03945555239885101,0.037518101412398294,0.0355622527647226,0.03369953719427016,0.02896691582145712
q74,smape,0.034837942451340115,0.031279138731080215,0.024526553910834043,0.03017419679041818,0.037144603699812706,0.0329837791555184,0.03502748082289928,0.025875233125854154,0.03960394579313404,0.03346712043363163,0.055865508788731685
q75,smape,0.036821703525799096,0.03255367387308487,0.028880211211447137,0.02840872604232845,0.03479706236777525,0.03875493140432668,0.04366111075430354,0.034100803368145874,0.02544180724059665,0.028720545486388666,0.08088647687035051
q76,smape,0.06983704356098508,0.07414473466376204,0.08214324671978306,0.07759145459056585,0.07409645078246764,0.0793230531619168,0.07811937497294548,0.08202205127959,0.08253035000130338,0.0810843493204996,0.12632668810248887
q77,smape,0.01659156843613623,0.016007179780310993,0.011776391730402402,0.01462181739368164,0.0181068264361405,0.013562553491840133,0.013826672085354435,0.012523477980553133,0.018083251980728153,0.014938623295819251,0.010769436151765475
q78,smape,0.03429793422633034,0.030267690717572265,0.025714942015395474,0.030437944091023898,0.036122548642552925,0.029538256414678485,0.026385117449153842,0.026501051629552342,0.022155448905381417,0.018722452437590603,0.03077357451213765
q79,smape,0.033647968278362174,0.04168976488758947,0.030642848208550462,0.032635016452665186,0.034217875712336296,0.030684305296089183,0.0437844313249101,0.03296447630749741,0.02887716966693879,0.030963610759351445,0.025020745840495313
q8,smape,0.08237299020139859,0.07235231926959172,0.05705081632432122,0.06442557284166085,0.04786845759244575,0.08283895580551717,0.023826834366432435,0.07615915175397801,0.06021196927384156,0.05121557843013978,0.06906239869911422
q80,smape,0.03830353996010167,0.04713279425814572,0.039808158380517246,0.04198068898821143,0.04067604823954195,0.02530499209878143,0.047897063205453644,0.04843634159074643,0.034020416153265204,0.030444904535247737,0.027905340644919587
q81,smape,0.029904700073972442,0.03003162767022046,0.021348869229198437,0.024122126757078893,0.025062295307732532,0.015918358313301077,0.030868629927740775,0.026812522618106217,0.01915991092627355,0.017610293379132343,0.03604646222053015
q82,smape,0.026405562348104983,0.030209383132013205,0.03264372827939159,0.030402844191805688,0.027989519624003353,0.0326086963809602,0.03308348184386723,0.03148584894051211,0.03178734491706843,0.03374511140326977,0.06533063650916696
q83,smape,0.02199900670813933,0.018877258278955356,0.014009651245115032,0.015521077611833464,0.021217808224720393,0.01518898666551056,0.018183957423834118,0.017521430156722827,0.018335226864271203,0.015648940878679265,0.017688382919051917
q84,smape,0.06161032157220877,0.05805978602922744,0.0535976947575331,0.06553692103398649,0.06524780957602197,0.059352301457803944,0.0550386709428393,0.06582574932348696,0.048098162045102616,0.048602864504835835,0.021475571090125406
q85,smape,0.07495132920483094,0.0770870338891918,0.07269622719380343,0.07667971996204143,0.07445870414407602,0.0714512071002636,0.07660765445331985,0.07688887300974698,0.07413312990770943,0.07413214235769663,0.05457210946295181
q86,smape,0.06943961044091192,0.07036770245316663,0.06961503761452731,0.08305521044166521,0.06822837905778519,0.06950648895872825,0.07743755857055241,0.06780133910763633,0.07274412869395226,0.07504372192735544,0.09867536739038131
q87,smape,0.1881532397614123,0.16489066511845082,0.16873101663882695,0.19128503908610844,0.1585915260244894,0.16205198964455414,0.20397095691119027,0.16597461759444374,0.18800932921359537,0.18589830609371938,0.09665182629312824
q88,smape,0.14401885918407498,0.1400796778373793,0.13842879980252354,0.1475209979122648,0.12317437012781725,0.11678822413599331,0.13639029357133015,0.12712181366615483,0.13346699729240505,0.1311499439652814,0.07648886842404334
