unique_id,metric,SeasonalMBB,Jittering,Scaling,TimeWarping,MagnitudeWarping,TSMixup,DBA,original,derived,derived_ensemble,QGTS,QGTSE,SeasonalNaive
ID60,mase,0.20678703,0.7025154,0.5988572,0.34945047,0.20750244,0.56008923,0.64903605,0.53798294,0.23992965,0.6573582,0.4235672,0.3046376,1.2307413
ID61,mase,0.5516927,0.67346334,0.37054485,0.4692197,1.3838996,0.60646844,0.50649047,0.42394677,0.41044134,0.42640814,0.43842787,0.7154871,0.74332863
ID62,mase,1.3614591,0.7474683,0.75930864,0.49412695,0.6655006,0.9028619,1.1263753,0.51241285,0.4238223,1.0932786,1.5686281,2.0707173,0.91137534
ID63,mase,2.0729768,1.0290972,0.6441523,2.1703715,1.2420311,1.5240953,0.58656895,1.2484757,0.6391102,1.3875567,3.318808,4.536703,0.49741524
ID64,mase,1.4040347,3.2869334,1.5170962,1.5700784,1.7725663,4.334977,1.214246,2.6926422,2.0882215,2.8016033,1.5720893,1.3530786,1.454434
ID65,mase,1.1250103,0.36408105,0.425955,0.36522236,0.26114848,1.1355563,0.2836338,0.6403829,0.5626818,1.1719922,0.64008,0.9476555,1.0567635
ID66,mase,0.64970195,0.481252,0.46619704,0.50415015,0.5551524,0.6001008,0.6313939,0.3615026,0.70068365,0.74152374,0.3854508,0.36544502,0.8924047
ID67,mase,1.666142,0.55483353,0.2754674,0.6513832,0.54666734,0.2924396,0.44450134,0.46577805,0.3429497,0.53114325,0.64372176,0.9560555,0.5028637
ID68,mase,1.7817271,1.8758557,1.5114502,1.7689793,4.5774364,2.8908527,2.8509986,1.5376619,2.5492833,2.542599,2.9267945,2.538325,1.1209999
ID69,mase,0.22435,0.34140414,0.21569371,0.27233115,0.46241844,0.26333764,0.27519715,0.20597458,0.20143968,0.2495669,0.23857594,0.20119412,0.21192816
ID7,mase,1.367266,0.91298217,0.3597049,1.9209527,3.0199513,1.321263,0.9763106,0.71458876,0.35886705,1.4030615,2.86444,1.0051305,1.4614636
ID70,mase,1.0126721,1.2587333,1.0893382,1.1625814,1.1643796,1.0491371,1.0843902,2.182049,0.91992986,1.1857681,0.7100974,0.85812736,0.9811699
ID71,mase,1.1984079,3.0426755,0.58486295,1.2505711,1.3204956,3.147996,1.8102291,1.5916086,0.96954215,1.0107803,0.7536635,0.5830009,0.82333595
ID72,mase,0.41343597,0.5233363,0.36674896,0.35009098,1.2102646,0.76961774,0.95328873,0.3610658,0.7910731,0.42099178,0.9758674,0.57322806,0.6177479
ID73,mase,1.1772271,0.3427381,0.31146082,0.35470378,1.8649436,0.4224455,0.67073756,0.5161071,0.76682967,1.0153729,0.65774125,1.0238668,0.45554706
ID74,mase,0.49216497,1.1880257,0.33116683,0.48615032,1.9943334,0.5363339,0.33558232,0.32961923,0.5866251,0.4174624,0.50148857,0.43386117,0.47022697
ID75,mase,1.2040788,1.9756446,0.87927854,0.7966089,1.5809379,0.9079616,0.8085436,1.0504904,0.8428962,1.4003699,0.8169891,1.1446501,3.1246302
ID76,mase,1.0088291,0.8230709,0.4784011,0.5340368,0.6374377,0.8178933,0.70736086,0.7850355,0.57179105,0.85208124,0.58230585,0.5749726,0.3549234
ID77,mase,0.61047167,0.9954203,0.6712278,0.65942544,1.5922363,2.4896972,0.63683003,1.217444,1.3947309,1.0987396,0.87948513,0.5791239,0.9065805
ID78,mase,1.9631557,0.97363037,2.1343594,1.5490099,3.0018039,0.88564575,1.6109326,1.7044697,0.630123,0.44751373,1.7495066,1.4814498,1.1950785
ID79,mase,0.84932727,0.73374194,0.7169584,0.9942542,0.8074655,0.59140545,0.2838076,0.394875,1.4836557,0.6771707,0.3609751,1.3692975,1.0224419
ID8,mase,1.5708872,2.195409,1.9732895,1.3219385,1.7205056,1.4060107,1.4951825,1.9338989,2.4044926,1.8533884,1.8425959,2.2885962,1.1307452
ID80,mase,0.9375799,0.5164479,0.5592367,0.71938217,1.0570165,0.595439,0.83940876,0.72357184,0.47715816,0.47035238,0.783446,0.5220739,0.6679552
ID81,mase,2.4014492,2.0023232,1.8836595,1.0075177,2.445823,2.5929537,2.435306,1.7989231,2.236449,2.3861296,1.8136157,1.4532237,0.5073725
ID82,mase,0.38751388,0.58138466,0.3110074,0.25989765,0.75663126,0.5303833,0.35828727,0.30514133,0.45383626,0.75329685,0.34895757,0.4829541,1.875705
ID83,mase,0.58727705,1.1270176,0.78737485,0.46081105,2.6229348,0.97213316,0.79956144,0.64731807,0.6151399,0.5117491,1.9088637,0.9971673,1.0994383
