unique_id,metric,SeasonalMBB,Jittering,Scaling,TimeWarping,MagnitudeWarping,TSMixup,DBA,original,qgts(25),qgtse(50),SeasonalNaive
ID195,mase,2.4702535,2.4146123,2.2325943,2.0256493,2.3913715,2.4077938,2.4745336,2.5440218,2.4343452,2.5014493,2.10476
ID196,mase,0.53434426,0.5468982,0.7153529,0.89790386,0.6347047,0.8008745,0.7775469,0.7078776,0.54408425,0.49256626,0.33703357
ID197,mase,0.14150524,0.16910934,0.15299548,0.15604095,0.13319263,0.14513016,0.15139465,0.11865024,0.14343585,0.13207111,1.925
ID198,mase,0.6409389,0.62990713,0.69108856,0.72078806,0.70064163,0.64085984,0.64097124,0.62617177,0.5870036,0.6016557,1.1333333
ID199,mase,2.607753,2.5400658,2.5232098,2.0839913,2.4442108,2.8683383,3.2088673,2.7675037,2.7493382,2.7671995,2.4128654
ID2,mase,1.6179936,1.6511284,1.3833406,2.0156941,1.1215143,2.2398794,2.008933,1.7241539,1.5144343,1.5362569,1.233998
ID20,mase,2.1065361,2.1120613,2.089325,2.101373,2.0360007,2.0805094,1.927601,2.0692558,2.1121216,2.091321,2.1860843
ID200,mase,1.9272686,1.9801241,2.2169356,2.5885594,2.2504337,1.8169726,2.0034602,1.820652,1.7402856,1.7032617,5.0329757
ID201,mase,0.9319829,0.81778055,0.80635846,0.5406925,0.7387678,0.9467191,0.9267914,0.96411765,1.0024337,1.0426389,1.2861842
ID202,mase,0.32332265,0.24256732,0.40947354,0.13003378,0.21545961,0.27565464,0.20824221,0.26918608,0.26114222,0.25762022,0.69105685
ID21,mase,0.27213228,0.32290685,0.44702604,0.84257805,0.28511313,0.5616357,0.39956152,0.38713932,0.27535805,0.24130885,0.5606472
ID22,mase,3.2543035,2.726727,2.9051342,2.2901258,2.5098286,3.0681934,3.1525078,3.262268,3.5134244,3.58573,5.221981
ID23,mase,1.3566568,1.269878,1.4936168,1.2610036,1.1011126,1.5094346,1.4021664,1.5647863,1.3173689,1.2181975,2.5647058
ID24,mase,1.3718562,1.3354398,1.5522182,1.1785328,1.1280606,1.3511934,1.304102,1.5413367,1.4987917,1.5753481,3.026011
ID25,mase,1.2349123,1.2021314,1.3972702,1.0608872,1.0154533,1.2163122,1.1739216,1.3874745,1.3491765,1.4180909,2.723943
