unique_id,metric,SeasonalMBB,Jittering,Scaling,TimeWarping,MagnitudeWarping,TSMixup,DBA,original,derived,derived_ensemble,qgts_10,qgtse_10,SeasonalNaive
Q613,smape,0.057589994537993336,0.05883489537910935,0.06804608698005585,0.060681885764276466,0.026151945246966672,0.0603515445104438,0.0626317334104403,0.04904562476707616,0.05833323149201006,0.054913239960501625,0.055465658683263364,0.05311352428612187,0.08036385930421248
Q614,smape,0.028006977667944136,0.024427228134226334,0.022789125128305783,0.02039528471394926,0.023551229867544803,0.02243311371157549,0.01890296061462576,0.02298696584528731,0.025312786221969738,0.026421785617631133,0.023060387867304098,0.024832460218788863,0.027131254066525532
Q615,smape,0.02570425835132068,0.024873400938206145,0.01819648019026563,0.02283431782682209,0.026313114424218062,0.02208061700500515,0.015301329843514167,0.007844505001623406,0.02754892280333442,0.028401931228879452,0.026573389706765295,0.02134586419825761,0.026599583779379942
Q616,smape,0.018331031143182543,0.020846875255272953,0.011690140510966176,0.013030587862673072,0.015337056682245566,0.010941770496907357,0.007931738145379504,0.007328026529263205,0.018131373041062385,0.020198715352498692,0.018130913602797373,0.013967756352405734,0.023152505178291843
Q617,smape,0.003211379027683659,0.002630609593798912,0.002782356687520748,0.0036322957725088726,0.011697774108359565,0.002593254318799526,0.0026229835144573077,0.002540431401573401,0.0033555068577432266,0.003950082315984822,0.0031044416548469413,0.004078961675533642,0.006114000136165001
Q618,smape,0.014529065985472822,0.008138840595796075,0.012403396577234433,0.008006071121733151,0.008635281721371077,0.011176323795195878,0.010267553824743422,0.006376158765194517,0.009719540295217238,0.011811145519287495,0.009579447469924125,0.011036089722165222,0.020772890551759106
Q619,smape,0.0029348160944649712,0.002837900375060512,0.00317541400400418,0.002767761369540875,0.0028197447275589635,0.003095682994043991,0.002999771133300454,0.002822905122380554,0.0029838088981698828,0.0028078213922455675,0.0026369718632297022,0.0027106426091330414,0.0055612696473514795
Q62,smape,0.07531505212376799,0.058030436567440065,0.07207414722766335,0.05601392510476225,0.07713031866591737,0.07655511333483318,0.07295666240842935,0.06837907600077658,0.07067983896661549,0.06407513533350964,0.07484656210385207,0.07277889319850524,0.07002807336314652
Q620,smape,0.010929482930137065,0.009089283348219351,0.00953636846707243,0.013473600643071897,0.013163830120004355,0.009909838172556171,0.00873426717645556,0.008812978622627842,0.011722891386000111,0.01549105409826453,0.010859373830537667,0.011967514606332887,0.013387404402440382
Q621,smape,0.0020037189175168483,0.0022778297815821643,0.007177115520272102,0.003629825573127013,0.002495643523353544,0.002645314222658639,0.0032000815248235115,0.0024609164691181762,0.003955752085340076,0.00189077082628053,0.0014763590977130035,0.0021580425794279537,0.008257113463422103
